Date,EventType
2013-10-09,CPI
2013-10-30,FOMC
2013-11-01,NFP
2013-11-13,CPI
2013-12-06,NFP
2013-12-11,CPI
2013-12-18,FOMC
2014-01-03,NFP
2014-01-08,CPI
2014-01-29,FOMC
2014-02-07,NFP
2014-02-12,CPI
2014-03-07,NFP
2014-03-12,CPI
2014-03-19,FOMC
2014-04-04,NFP
2014-04-09,CPI
2014-04-30,FOMC
2014-05-02,NFP
2014-05-14,CPI
2014-06-06,NFP
2014-06-11,CPI
2014-06-18,FOMC
2014-07-04,NFP
2014-07-09,CPI
2014-07-30,FOMC
2014-08-01,NFP
2014-08-13,CPI
2014-09-05,NFP
2014-09-10,CPI
2014-09-17,FOMC
2014-10-03,NFP
2014-10-08,CPI
2014-10-29,FOMC
2014-11-07,NFP
2014-11-12,CPI
2014-12-05,NFP
2014-12-10,CPI
2014-12-17,FOMC
2015-01-02,NFP
2015-01-14,CPI
2015-01-28,FOMC
2015-02-06,NFP
2015-02-11,CPI
2015-03-06,NFP
2015-03-11,CPI
2015-03-18,FOMC
2015-04-03,NFP
2015-04-08,CPI
2015-04-29,FOMC
2015-05-01,NFP
2015-05-13,CPI
2015-06-05,NFP
2015-06-10,CPI
2015-06-17,FOMC
2015-07-03,NFP
2015-07-08,CPI
2015-07-29,FOMC
2015-08-07,NFP
2015-08-12,CPI
2015-09-04,NFP
2015-09-09,CPI
2015-09-17,FOMC
2015-10-02,NFP
2015-10-14,CPI
2015-10-28,FOMC
2015-11-06,NFP
2015-11-11,CPI
2015-12-04,NFP
2015-12-09,CPI
2015-12-16,FOMC
2016-01-01,NFP
2016-01-13,CPI
2016-01-27,FOMC
2016-02-05,NFP
2016-02-10,CPI
2016-03-04,NFP
2016-03-09,CPI
2016-03-16,FOMC
2016-04-01,NFP
2016-04-13,CPI
2016-04-27,FOMC
2016-05-06,NFP
2016-05-11,CPI
2016-06-03,NFP
2016-06-08,CPI
2016-06-15,FOMC
2016-07-01,NFP
2016-07-13,CPI
2016-07-27,FOMC
2016-08-05,NFP
2016-08-10,CPI
2016-09-02,NFP
2016-09-14,CPI
2016-09-21,FOMC
2016-10-07,NFP
2016-10-12,CPI
2016-11-02,FOMC
2016-11-04,NFP
2016-11-09,CPI
2016-12-02,NFP
2016-12-14,FOMC
2016-12-14,CPI
2017-01-06,NFP
2017-01-11,CPI
2017-02-01,FOMC
2017-02-03,NFP
2017-02-08,CPI
2017-03-03,NFP
2017-03-08,CPI
2017-03-15,FOMC
2017-04-07,NFP
2017-04-12,CPI
2017-05-03,FOMC
2017-05-05,NFP
2017-05-10,CPI
2017-06-02,NFP
2017-06-14,FOMC
2017-06-14,CPI
2017-07-07,NFP
2017-07-12,CPI
2017-07-26,FOMC
2017-08-04,NFP
2017-08-09,CPI
2017-09-01,NFP
2017-09-13,CPI
2017-09-20,FOMC
2017-10-06,NFP
2017-10-11,CPI
2017-11-01,FOMC
2017-11-03,NFP
2017-11-08,CPI
2017-12-01,NFP
2017-12-13,FOMC
2017-12-13,CPI
2018-01-05,NFP
2018-01-10,CPI
2018-01-31,FOMC
2018-02-02,NFP
2018-02-14,CPI
2018-03-02,NFP
2018-03-14,CPI
2018-03-21,FOMC
2018-04-06,NFP
2018-04-11,CPI
2018-05-02,FOMC
2018-05-04,NFP
2018-05-09,CPI
2018-06-01,NFP
2018-06-13,FOMC
2018-06-13,CPI
2018-07-06,NFP
2018-07-11,CPI
2018-08-01,FOMC
2018-08-03,NFP
2018-08-08,CPI
2018-09-07,NFP
2018-09-12,CPI
2018-09-26,FOMC
2018-10-05,NFP
2018-10-10,CPI
2018-11-02,NFP
2018-11-08,FOMC
2018-11-14,CPI
2018-12-07,NFP
2018-12-12,CPI
2018-12-19,FOMC
2019-01-04,NFP
2019-01-09,CPI
2019-01-30,FOMC
2019-02-01,NFP
2019-02-13,CPI
2019-03-01,NFP
2019-03-13,CPI
2019-03-20,FOMC
2019-04-05,NFP
2019-04-10,CPI
2019-05-01,FOMC
2019-05-03,NFP
2019-05-08,CPI
2019-06-07,NFP
2019-06-12,CPI
2019-06-19,FOMC
2019-07-05,NFP
2019-07-10,CPI
2019-07-31,FOMC
2019-08-02,NFP
2019-08-14,CPI
2019-09-06,NFP
2019-09-11,CPI
2019-09-18,FOMC
2019-10-04,NFP
2019-10-09,CPI
2019-10-30,FOMC
2019-11-01,NFP
2019-11-13,CPI
2019-12-06,NFP
2019-12-11,FOMC
2019-12-11,CPI
2020-01-03,NFP
2020-01-08,CPI
2020-01-29,FOMC
2020-02-07,NFP
2020-02-12,CPI
2020-03-03,FOMC
2020-03-06,NFP
2020-03-11,CPI
2020-03-16,FOMC
2020-04-03,NFP
2020-04-08,CPI
2020-04-29,FOMC
2020-05-01,NFP
2020-05-13,CPI
2020-06-05,NFP
2020-06-10,FOMC
2020-06-10,CPI
2020-07-03,NFP
2020-07-08,CPI
2020-07-29,FOMC
2020-08-07,NFP
2020-08-12,CPI
2020-09-04,NFP
2020-09-09,CPI
2020-09-16,FOMC
2020-10-02,NFP
2020-10-14,CPI
2020-11-05,FOMC
2020-11-06,NFP
2020-11-11,CPI
2020-12-04,NFP
2020-12-09,CPI
2020-12-16,FOMC
2021-01-01,NFP
2021-01-13,CPI
2021-01-27,FOMC
2021-02-05,NFP
2021-02-10,CPI
2021-03-05,NFP
2021-03-10,CPI
2021-03-17,FOMC
2021-04-02,NFP
2021-04-14,CPI
2021-04-28,FOMC
2021-05-07,NFP
2021-05-12,CPI
2021-06-04,NFP
2021-06-09,CPI
2021-06-16,FOMC
2021-07-02,NFP
2021-07-14,CPI
2021-07-28,FOMC
2021-08-06,NFP
2021-08-11,CPI
2021-09-03,NFP
2021-09-08,CPI
2021-09-22,FOMC
2021-10-01,NFP
2021-10-13,CPI
2021-11-03,FOMC
2021-11-05,NFP
2021-11-10,CPI
2021-12-03,NFP
2021-12-08,CPI
2021-12-15,FOMC
2022-01-07,NFP
2022-01-12,CPI
2022-01-26,FOMC
2022-02-04,NFP
2022-02-09,CPI
2022-03-04,NFP
2022-03-09,CPI
2022-03-16,FOMC
2022-04-01,NFP
2022-04-13,CPI
2022-05-04,FOMC
2022-05-06,NFP
2022-05-11,CPI
2022-06-03,NFP
2022-06-08,CPI
2022-06-15,FOMC
2022-07-01,NFP
2022-07-13,CPI
2022-07-27,FOMC
2022-08-05,NFP
2022-08-10,CPI
2022-09-02,NFP
2022-09-14,CPI
2022-09-21,FOMC
2022-10-07,NFP
2022-10-12,CPI
2022-11-02,FOMC
2022-11-04,NFP
2022-11-09,CPI
2022-12-02,NFP
2022-12-14,FOMC
2022-12-14,CPI
2023-01-06,NFP
2023-01-11,CPI
2023-02-01,FOMC
2023-02-03,NFP
2023-02-08,CPI
2023-03-03,NFP
2023-03-08,CPI
2023-03-22,FOMC
2023-04-07,NFP
2023-04-12,CPI
2023-05-03,FOMC
2023-05-05,NFP
2023-05-10,CPI
2023-06-02,NFP
2023-06-14,FOMC
2023-06-14,CPI
2023-07-07,NFP
2023-07-12,CPI
2023-07-26,FOMC
2023-08-04,NFP
2023-08-09,CPI
2023-09-01,NFP
2023-09-13,CPI
2023-09-20,FOMC
2023-10-06,NFP
2023-10-11,CPI
2023-11-01,FOMC
2023-11-03,NFP
2023-11-08,CPI
2023-12-01,NFP
2023-12-13,FOMC
2023-12-13,CPI
2024-01-05,NFP
2024-01-11,CPI
2024-01-31,FOMC
2024-02-02,NFP
2024-02-13,CPI
2024-03-01,NFP
2024-03-12,CPI
2024-03-20,FOMC
2024-04-05,NFP
2024-04-10,CPI
2024-05-01,FOMC
2024-05-03,NFP
2024-05-15,CPI
2024-06-07,NFP
2024-06-12,FOMC
2024-06-12,CPI
2024-07-05,NFP
2024-07-11,CPI
2024-07-31,FOMC
2024-08-02,NFP
2024-08-14,CPI
2024-09-06,NFP
2024-09-11,CPI
2024-09-18,FOMC
2024-10-04,NFP
2024-10-10,CPI
2024-11-01,NFP
2024-11-07,FOMC
2024-11-13,CPI
2024-12-06,NFP
2024-12-11,CPI
2024-12-18,FOMC
2025-01-03,NFP
2025-01-15,CPI
2025-01-29,FOMC
2025-02-07,NFP
2025-02-12,CPI
2025-03-07,NFP
2025-03-12,CPI
2025-03-19,FOMC
2025-04-04,NFP
2025-04-10,CPI
2025-05-02,NFP
2025-05-07,FOMC
2025-05-13,CPI
2025-06-06,NFP
2025-06-11,CPI
2025-06-18,FOMC
2025-07-04,NFP
2025-07-11,CPI
2025-07-30,FOMC
2025-08-01,NFP
2025-08-12,CPI
2025-09-05,NFP
